datum,period,styranta_pct
1996-01-01,1996M01,8.718636363636364
1996-02-01,1996M02,8.34047619047619
1996-03-01,1996M03,7.754761904761905
1996-04-01,1996M04,7.15
1996-05-01,1996M05,6.67
1996-06-01,1996M06,6.247368421052631
1996-07-01,1996M07,5.815217391304348
1996-08-01,1996M08,5.440909090909091
1996-09-01,1996M09,5.164285714285715
1996-10-01,1996M10,4.923913043478261
1996-11-01,1996M11,4.564285714285714
1996-12-01,1996M12,4.252777777777777
1997-01-01,1997M01,4.1
1997-02-01,1997M02,4.1
1997-03-01,1997M03,4.1
1997-04-01,1997M04,4.1
1997-05-01,1997M05,4.1
1997-06-01,1997M06,4.1
1997-07-01,1997M07,4.1
1997-08-01,1997M08,4.1
1997-09-01,1997M09,4.1
1997-10-01,1997M10,4.1
1997-11-01,1997M11,4.1
1997-12-01,1997M12,4.205263157894737
1998-01-01,1998M01,4.35
1998-02-01,1998M02,4.35
1998-03-01,1998M03,4.35
1998-04-01,1998M04,4.35
1998-05-01,1998M05,4.35
1998-06-01,1998M06,4.1625
1998-07-01,1998M07,4.1
1998-08-01,1998M08,4.1
1998-09-01,1998M09,4.1
1998-10-01,1998M10,4.1
1998-11-01,1998M11,3.826190476190476
1998-12-01,1998M12,3.5100000000000002
1999-01-01,1999M01,3.4
1999-02-01,1999M02,3.3
1999-03-01,1999M03,3.139130434782609
1999-04-01,1999M04,2.9
1999-05-01,1999M05,2.9
1999-06-01,1999M06,2.9
1999-07-01,1999M07,2.9
1999-08-01,1999M08,2.9
1999-09-01,1999M09,2.9
1999-10-01,1999M10,2.9
1999-11-01,1999M11,3.059090909090909
1999-12-01,1999M12,3.25
2000-01-01,2000M01,3.25
2000-02-01,2000M02,3.607142857142857
2000-03-01,2000M03,3.75
2000-04-01,2000M04,3.75
2000-05-01,2000M05,3.75
2000-06-01,2000M06,3.75
2000-07-01,2000M07,3.75
2000-08-01,2000M08,3.75
2000-09-01,2000M09,3.75
2000-10-01,2000M10,3.75
2000-11-01,2000M11,3.75
2000-12-01,2000M12,3.8947368421052633
2001-01-01,2001M01,4.0
2001-02-01,2001M02,4.0
2001-03-01,2001M03,4.0
2001-04-01,2001M04,4.0
2001-05-01,2001M05,4.0
2001-06-01,2001M06,4.0
2001-07-01,2001M07,4.170454545454546
2001-08-01,2001M08,4.25
2001-09-01,2001M09,4.05
2001-10-01,2001M10,3.75
2001-11-01,2001M11,3.75
2001-12-01,2001M12,3.75
2002-01-01,2002M01,3.75
2002-02-01,2002M02,3.75
2002-03-01,2002M03,3.8375
2002-04-01,2002M04,4.0
2002-05-01,2002M05,4.25
2002-06-01,2002M06,4.25
2002-07-01,2002M07,4.25
2002-08-01,2002M08,4.25
2002-09-01,2002M09,4.25
