datum,period,kpi_arsforandring_pct,kpi_skuggindex_2020_100
1996-01-01,1996M01,1.6,76.1
1996-02-01,1996M02,1.3,76.19
1996-03-01,1996M03,1.4,76.54
1996-04-01,1996M04,1.0,76.75
1996-05-01,1996M05,0.8,76.67
1996-06-01,1996M06,0.5,76.39
1996-07-01,1996M07,0.4,76.22
1996-08-01,1996M08,0.1,75.87
1996-09-01,1996M09,0.0,76.3
1996-10-01,1996M10,-0.2,76.34
1996-11-01,1996M11,-0.4,76.19
1996-12-01,1996M12,-0.2,76.07
1997-01-01,1997M01,-0.1,76.06
1997-02-01,1997M02,-0.2,76.02
1997-03-01,1997M03,-0.3,76.33
1997-04-01,1997M04,0.0,76.72
1997-05-01,1997M05,0.1,76.72
1997-06-01,1997M06,0.6,76.82
1997-07-01,1997M07,0.6,76.68
1997-08-01,1997M08,1.1,76.73
1997-09-01,1997M09,1.5,77.44
1997-10-01,1997M10,1.5,77.49
1997-11-01,1997M11,1.5,77.36
1997-12-01,1997M12,1.6,77.32
1998-01-01,1998M01,0.7,76.59
1998-02-01,1998M02,0.6,76.48
1998-03-01,1998M03,0.4,76.6
1998-04-01,1998M04,0.1,76.82
1998-05-01,1998M05,0.3,76.95
1998-06-01,1998M06,0.0,76.79
1998-07-01,1998M07,-0.1,76.62
1998-08-01,1998M08,-0.7,76.23
1998-09-01,1998M09,-1.2,76.54
1998-10-01,1998M10,-1.0,76.7
1998-11-01,1998M11,-1.1,76.51
1998-12-01,1998M12,-1.2,76.38
1999-01-01,1999M01,-0.2,76.41
1999-02-01,1999M02,-0.1,76.41
1999-03-01,1999M03,0.1,76.7
1999-04-01,1999M04,0.1,76.87
1999-05-01,1999M05,0.1,77.01
1999-06-01,1999M06,0.4,77.13
1999-07-01,1999M07,0.2,76.79
1999-08-01,1999M08,0.7,76.79
1999-09-01,1999M09,1.0,77.33
1999-10-01,1999M10,0.9,77.42
1999-11-01,1999M11,0.9,77.21
1999-12-01,1999M12,1.3,77.39
2000-01-01,2000M01,0.4,76.75
2000-02-01,2000M02,0.9,77.12
2000-03-01,2000M03,1.0,77.49
2000-04-01,2000M04,0.7,77.42
2000-05-01,2000M05,1.0,77.79
2000-06-01,2000M06,0.8,77.77
2000-07-01,2000M07,0.8,77.4
2000-08-01,2000M08,0.9,77.45
2000-09-01,2000M09,0.9,78.01
2000-10-01,2000M10,1.0,78.17
2000-11-01,2000M11,1.3,78.22
2000-12-01,2000M12,1.0,78.14
2001-01-01,2001M01,1.5,77.91
2001-02-01,2001M02,1.4,78.19
2001-03-01,2001M03,1.7,78.77
2001-04-01,2001M04,2.6,79.46
2001-05-01,2001M05,2.8,80.0
2001-06-01,2001M06,2.7,79.88
2001-07-01,2001M07,2.7,79.47
2001-08-01,2001M08,2.9,79.66
2001-09-01,2001M09,3.0,80.34
2001-10-01,2001M10,2.5,80.12
2001-11-01,2001M11,2.5,80.15
2001-12-01,2001M12,2.7,80.22
2002-01-01,2002M01,2.7,80.02
2002-02-01,2002M02,2.6,80.22
2002-03-01,2002M03,2.7,80.9
2002-04-01,2002M04,2.3,81.26
2002-05-01,2002M05,1.8,81.46
2002-06-01,2002M06,1.8,81.34
2002-07-01,2002M07,2.0,81.06
2002-08-01,2002M08,1.8,81.1
2002-09-01,2002M09,1.7,81.72
2002-10-01,2002M10,2.3,81.99
2002-11-01,2002M11,2.0,81.79
2002-12-01,2002M12,2.1,81.89
2003-01-01,2003M01,2.7,82.15
2003-02-01,2003M02,3.3,82.88
2003-03-01,2003M03,3.0,83.3
2003-04-01,2003M04,2.2,83.01
2003-05-01,2003M05,1.8,82.91
2003-06-01,2003M06,1.6,82.68
2003-07-01,2003M07,1.6,82.39
2003-08-01,2003M08,1.6,82.37
2003-09-01,2003M09,1.5,82.97
